waltz_13
0.0
1.08
64.0
0.63
59.61
0.11
59.94
0.16
69.61
0.3
71.96
0.27
70.97
0.36
69.65
0.25
65.47
0.41
66.83
0.3
71.35
0.3
71.93
0.26
71.3
0.16
69.9
0.2
70.46
0.43
65.26
0.12
66.87
0.16
69.36
0.61
69.98
0.37
60.93
0.27
67.91
0.73
64.2
0.22
69.21
0.31
75.17
0.26
74.51
0.41
71.71
0.6
67.72
0.15
66.14
0.26
72.54
0.26
73.37
0.18
72.31
0.1
72.79
0.31
71.4
0.58
68.28
0.35
73.48
0.28
76.15
0.3
73.6
0.35
73.85
0.34
69.72
0.34
69.36
0.61
66.7
0.48
59.38
0.23
65.64
0.7
59.51
0.3
68.25
0.31
68.02
0.16
66.74
0.11
67.27
0.19
66.82
0.33
67.69
0.73
62.99
0.32
67.36
0.29
69.7
0.29
65.71
0.47
63.38
0.25
62.57
0.39
64.44
0.27
70.8
0.31
72.53
0.25
71.43
0.34
73.49
0.41
68.56
0.11
69.2
0.23
69.34
0.57
66.44
0.71
65.03
0.17
63.48
0.17
59.37
0.37
59.57
0.3
68.22
0.27
73.04
0.24
73.32
0.4
72.5
0.61
68.75
0.36
72.15
0.28
76.25
0.31
74.72
0.33
74.42
0.56
69.01
0.13
67.76
0.18
74.03
0.27
74.62
0.29
72.21
0.36
72.34
0.37
69.31
0.4
66.44
0.21
63.52
0.49
65.78
0.18
63.92
0.23
60.42
0.18
64.13
0.71
60.5
0.3
68.64
0.12
65.8
0.17
68.17
0.3
71.52
0.4
72.94
0.64
66.14
0.13
64.68
0.17
68.6
0.13
64.92
0.17
68.15
0.25
71.82
0.35
71.28
0.11
70.58
0.18
67.11
0.35
66.57
0.31
73.72
0.28
77.02
0.28
77.0
0.31
80.0
0.66
68.18
0.28
75.1
0.3
76.06
0.27
77.94
0.35
72.98
0.13
71.84
0.52
69.16
0.3
77.41
0.24
78.89
0.28
76.71
0.51
79.12
0.6
70.91
0.28
70.56
0.13
71.16
0.28
72.65
0.31
70.02
0.42
69.95
0.44
65.16
0.4
68.87
0.5
61.6
0.42
62.77
0.32
57.14
0.86
60.98
0.77
59.77
0.28
65.91
0.3
69.54
0.3
66.35
0.37
64.65
0.19
63.54
0.24
60.82
0.15
59.61
0.16
61.77
0.33
67.99
0.31
70.02
0.25
67.09
0.43
67.44
0.45
61.6
0.13
62.32
0.14
63.61
0.32
59.76
0.38
65.22
0.29
59.05
0.42
66.45
0.74
63.89
0.15
63.68
0.14
70.01
0.34
73.79
0.27
73.32
0.36
70.49
0.8
61.1
0.26
70.13
0.15
68.65
0.14
70.69
0.29
71.1
0.44
68.95
0.34
57.66
0.18
62.14
0.28
66.7
0.31
68.14
0.32
67.85
0.51
66.45
0.3
60.09
0.16
62.61
0.38
62.24
0.21
58.72
0.46
59.55
0.69
62.91
0.77
59.51
0.27
66.73
0.33
70.2
0.28
70.29
0.35
70.45
0.53
60.11
0.16
62.29
0.37
63.89
0.25
64.33
0.28
66.45
0.35
67.06
0.33
59.82
0.31
66.29
0.25
71.55
0.29
73.48
0.29
72.29
0.39
74.82
0.66
66.14
0.29
71.57
0.33
73.17
0.23
74.18
0.43
69.57
0.43
60.27
0.17
65.99
0.25
75.4
0.31
77.23
0.27
76.13
0.48
78.61
0.75
68.98
0.12
68.01
0.18
72.95
0.36
72.34
0.26
71.89
0.48
68.07
0.22
62.9
0.13
64.34
0.42
66.56
0.87
64.58
0.3
58.82
1.01
58.31
0.81
57.07
0.21
62.36
0.19
64.95
0.22
66.82
0.2
64.14
0.25
62.92
0.37
61.22
0.85
68.73
0.22
67.03
0.19
69.32
0.25
68.94
0.18
69.68
0.35
63.95
0.51
56.74
0.11
56.89
0.19
64.73
0.46
56.95
0.26
64.17
0.78
56.64
1.05
63.67
0.21
63.83
0.19
66.79
0.21
63.24
0.24
63.59
0.39
62.82
0.92
62.16
0.2
68.93
0.19
68.03
0.2
68.8
0.52
65.99
0.1
65.67
0.29
61.18
0.91
60.79
0.2
68.61
0.17
67.79
0.22
68.6
0.27
64.11
0.23
67.22
0.55
60.46
0.28
55.01
0.14
55.2
0.6
59.03
0.96
58.84
0.19
57.43
0.18
56.23
0.85
59.84
0.14
58.76
1.24
57.63
3.8
